expID,strain,media,replicate,timepoint,OD600,OD600_blanked
blank2,blank,GlcNAc,2,17.02327778,0.08537,0.00019
blank2,blank,GlcNAc,2,17.20830556,0.08536,0.00018
blank2,blank,GlcNAc,2,17.39333333,0.085440001,0.000260001
blank2,blank,GlcNAc,2,17.57836111,0.08538,0.0002
blank2,blank,GlcNAc,2,17.76338889,0.08543,0.00025
blank2,blank,GlcNAc,2,17.94844444,0.08547,0.00029
blank2,blank,GlcNAc,2,18.13347222,0.08541,0.000229999
blank2,blank,GlcNAc,2,18.3185,0.085230001,5.00008E-05
blank2,blank,GlcNAc,2,18.50352778,0.085390001,0.000210001
blank2,blank,GlcNAc,2,18.68855556,0.085330001,0.00015
blank2,blank,GlcNAc,2,18.87358333,0.08536,0.00018
blank2,blank,GlcNAc,2,19.05861111,0.08546,0.00028
blank2,blank,GlcNAc,2,19.24363889,0.085409999,0.000229999
blank2,blank,GlcNAc,2,19.42866667,0.08537,0.000189999
blank2,blank,GlcNAc,2,19.61369444,0.08543,0.00025
blank2,blank,GlcNAc,2,19.79875,0.08548,0.0003
blank2,blank,GlcNAc,2,19.98377778,0.08554,0.00036
blank2,blank,GlcNAc,2,20.16880556,0.085479999,0.000299998
blank2,blank,GlcNAc,2,20.35383333,0.085350001,0.000170001
blank2,blank,GlcNAc,2,20.53886111,0.085399999,0.000219999
blank2,blank,GlcNAc,2,20.72388889,0.08551,0.00033
blank2,blank,GlcNAc,2,20.90891667,0.085459999,0.000279999
blank2,blank,GlcNAc,2,21.09394444,0.08549,0.000309999
blank2,blank,GlcNAc,2,21.27897222,0.08545,0.000269999
blank2,blank,GlcNAc,2,21.46402778,0.085469999,0.000289999
blank2,blank,GlcNAc,2,21.64905556,0.08554,0.000359999
blank2,blank,GlcNAc,2,21.83408333,0.085429999,0.000249999
blank2,blank,GlcNAc,2,22.01911111,0.08545,0.000269999
blank2,blank,GlcNAc,2,22.20413889,0.085469999,0.000289999
blank2,blank,GlcNAc,2,22.38916667,0.0855,0.000319999
blank2,blank,GlcNAc,2,22.57419444,0.08548,0.0003
blank2,blank,GlcNAc,2,22.75922222,0.08545,0.000269999
blank2,blank,GlcNAc,2,22.94427778,0.085529999,0.000349999
blank2,blank,GlcNAc,2,23.12930556,0.0855,0.000319999
blank2,blank,GlcNAc,2,23.31433333,0.08553,0.00035
blank2,blank,GlcNAc,2,23.49936111,0.08558,0.000399999
blank2,blank,GlcNAc,2,23.68438889,0.08549,0.000309999
blank2,blank,GlcNAc,2,23.86941667,0.085489999,0.000309999
blank2,blank,GlcNAc,2,24.05444444,0.08545,0.000269999
blank2,blank,GlcNAc,2,24.23947222,0.085419999,0.000239999
blank2,blank,GlcNAc,2,24.4245,0.08546,0.00028
blank2,blank,GlcNAc,2,24.60955556,0.08553,0.00035
blank2,blank,GlcNAc,2,24.79458333,0.08551,0.00033
blank2,blank,GlcNAc,2,24.97961111,0.08545,0.00027
blank2,blank,GlcNAc,2,25.16475,0.08545,0.000269999
blank2,blank,GlcNAc,2,25.34977778,0.08549,0.000309999
blank2,blank,GlcNAc,2,25.53480556,0.08558,0.000399999
blank2,blank,GlcNAc,2,25.71983333,0.085519999,0.000339999
blank2,blank,GlcNAc,2,25.90486111,0.0856,0.00042
blank2,blank,GlcNAc,2,26.08988889,0.08542,0.00024
blank2,blank,GlcNAc,2,26.27491667,0.085440001,0.000260001
blank2,blank,GlcNAc,2,26.45994444,0.08555,0.00037
blank2,blank,GlcNAc,2,26.64497222,0.08537,0.00019
blank2,blank,GlcNAc,2,26.83,0.08543,0.00025
blank2,blank,GlcNAc,2,27.01502778,0.085409999,0.000229999
blank2,blank,GlcNAc,2,27.20005556,0.08552,0.00034
blank2,blank,GlcNAc,2,27.38508333,0.08552,0.00034
blank2,blank,GlcNAc,2,27.57011111,0.085499999,0.000319999
blank2,blank,GlcNAc,2,27.75513889,0.08541,0.000229999
