strain,carbonSource,Area_Under_Curve,Growth
Day20F4,Palatinose,-0.5457001477479783,FALSE
Day20F4,Gelatin,-0.498799994587892,FALSE
Day20F4,Glycogen,-0.457100123167029,FALSE
Day20F4,D-Galacturonic Acid,-0.2823999129999998,FALSE
Day20F4,alpha-Methyl-D-Mannoside,-0.27960003912448106,FALSE
Day20F4,Uridine,-0.23730001799999983,FALSE
Day20F4,Oxalic Acid,-0.17630021274089336,FALSE
Day20F4,gamma-Cyclodextrin,0.05259994417429979,FALSE
Day20F4,Sedoheptulosan,0.10889986157419211,FALSE
Day20F4,beta-Methyl-D-Galactoside,0.21759998798371888,FALSE
Day20F4,Acetoacetic Acid,0.2972000630000001,FALSE
Day20F4,Melibionic Acid,0.49729987978935974,FALSE
Day20F4,L-Galactonic Acid-gamma-Lactone,0.6417001240000002,FALSE
Day20F4,Laminarin,0.6614999175071878,FALSE
Day20F4,Malonic Acid,0.6665998399257818,FALSE
Day20F4,Adenosine,0.6789000200000004,FALSE
Day20F4,Stachyose,0.694899983704095,FALSE
Day20F4,Glucuronamide,0.9823000710000003,FALSE
Day20F4,L-Alaninamide,1.1257998049259406,FALSE
Day20F4,L-Lyxose,1.21870017,FALSE
Day20F4,L-Pyroglutamic Acid,1.312299922108661,FALSE
Day20F4,a-Methyl-D-Glucoside,1.4911998510360789,FALSE
Day20F4,Inosine,1.5458000390000002,FALSE
Day20F4,Lactitol,1.6636999174952491,FALSE
Day20F4,Salicin,1.7414999604225239,FALSE
Day20F4,D-Arabitol,1.757600098848342,FALSE
Day20F4,gamma-Hydroxy Butyric Acid,1.8054999560117748,FALSE
Day20F4,D-Arabinose,1.9109999537468088,FALSE
Day20F4,alpha-Cyclodextrin,1.9946998059749697,FALSE
Day20F4,3-0-beta-D-Galactopyranosyl-D-Arabinose,2.0141000151634327,FALSE
Day20F4,gamma-Amino Butyric Acid,2.196099959313876,FALSE
